"","X.node1","node2","node1_string_id","node2_string_id","neighborhood_on_chromosome","gene_fusion","phylogenetic_cooccurrence","homology","coexpression","experimentally_determined_interaction","database_annotated","automated_textmining","combined_score"
"1","AADACL2","FLG2","9606.ENSP00000348911","9606.ENSP00000373370",0,0,0,0,0.54,0.071,0,0,0.554
"2","ACACB","ARG1","9606.ENSP00000341044","9606.ENSP00000349446",0,0,0,0,0,0,0.431,0,0.43
"3","ACTA1","LCP1","9606.ENSP00000355645","9606.ENSP00000381581",0,0,0,0,0.067,0.967,0,0,0.967
"4","ACTA1","GSN","9606.ENSP00000355645","9606.ENSP00000362924",0,0,0,0,0.059,0.981,0,0,0.981
"5","ADAMDEC1","PLA2G7","9606.ENSP00000256412","9606.ENSP00000274793",0,0,0,0,0.437,0,0,0,0.437
"6","ADAMDEC1","MMP12","9606.ENSP00000256412","9606.ENSP00000458585",0,0,0,0,0.421,0,0,0,0.42
"7","ADAMDEC1","CXCL13","9606.ENSP00000256412","9606.ENSP00000286758",0,0,0,0,0.492,0,0,0,0.491
"8","ADIPOQ","PLIN1","9606.ENSP00000389814","9606.ENSP00000300055",0,0,0,0,0.784,0,0,0,0.784
"9","ADIPOQ","LEP","9606.ENSP00000389814","9606.ENSP00000312652",0,0,0,0,0.683,0,0,0,0.683
"10","ADIPOQ","MLXIPL","9606.ENSP00000389814","9606.ENSP00000320886",0,0,0,0,0.06,0,0.4,0,0.411
"11","ADIPOQ","CIDEC","9606.ENSP00000389814","9606.ENSP00000373328",0,0,0,0,0.488,0,0,0,0.488
"12","AHSP","KRT1","9606.ENSP00000307199","9606.ENSP00000252244",0,0,0,0,0.406,0,0,0,0.406
"13","AHSP","HBB","9606.ENSP00000307199","9606.ENSP00000494175",0,0,0,0,0.335,0,0.72,0,0.806
"14","ALAS2","HBB","9606.ENSP00000497236","9606.ENSP00000494175",0,0,0,0,0.451,0,0,0,0.451
"15","ALDH3B2","AOC3","9606.ENSP00000501254","9606.ENSP00000312326",0,0,0,0,0.079,0.071,0.918,0,0.924
"16","AP1M2","TFRC","9606.ENSP00000465685","9606.ENSP00000376197",0,0,0,0,0,0,0.5,0,0.499
"17","APOE","CALCA","9606.ENSP00000252486","9606.ENSP00000331746",0,0,0,0,0,0,0.5,0,0.499
"18","APOE","LYZ","9606.ENSP00000252486","9606.ENSP00000261267",0,0,0,0,0.079,0,0.5,0,0.52
"19","APOE","MMP10","9606.ENSP00000252486","9606.ENSP00000279441",0,0,0,0,0.056,0.507,0,0,0.514
"20","APOE","MMP3","9606.ENSP00000252486","9606.ENSP00000299855",0,0,0,0,0.056,0.688,0,0,0.693
"21","APOE","GSN","9606.ENSP00000252486","9606.ENSP00000362924",0,0,0,0,0.075,0,0.5,0,0.517
"22","APOE","SDC1","9606.ENSP00000252486","9606.ENSP00000370542",0,0,0,0,0.049,0,0.5,0,0.504
"23","APOE","PLA2G7","9606.ENSP00000252486","9606.ENSP00000274793",0,0,0,0,0.149,0,0.9,0,0.911
"24","APOE","MAPT","9606.ENSP00000252486","9606.ENSP00000340820",0,0,0,0,0.044,0.701,0,0,0.702
"25","ARG1","HAL","9606.ENSP00000349446","9606.ENSP00000261208",0.115,0,0,0,0.645,0,0.42,0,0.802
"26","ASPM","TTK","9606.ENSP00000356379","9606.ENSP00000358813",0,0,0,0,0.912,0,0,0,0.912
"27","AURKA","TTK","9606.ENSP00000216911","9606.ENSP00000358813",0,0,0,0.624,0.676,0.094,0,0,0.694
"28","BCAM","LAMA5","9606.ENSP00000270233","9606.ENSP00000252999",0,0,0,0,0.163,0.615,0,0,0.664
"29","BIRC5","TTK","9606.ENSP00000301633","9606.ENSP00000358813",0,0,0,0,0.826,0,0,0,0.826
"30","BUB1","TTK","9606.ENSP00000302530","9606.ENSP00000358813",0,0,0,0,0.989,0.292,0,0,0.992
"31","CALCA","GSN","9606.ENSP00000331746","9606.ENSP00000362924",0,0,0,0,0,0,0.4,0,0.4
"32","CCL17","IGLL5","9606.ENSP00000219244","9606.ENSP00000431254",0,0,0,0,0.078,0.602,0,0,0.617
"33","CCL19","TNFAIP6","9606.ENSP00000308815","9606.ENSP00000243347",0,0,0,0,0.091,0.405,0,0,0.436
"34","CCL2","IGLL5","9606.ENSP00000225831","9606.ENSP00000431254",0,0,0,0,0.056,0.602,0,0,0.608
"35","CCL2","TNFAIP6","9606.ENSP00000225831","9606.ENSP00000243347",0,0,0,0,0.205,0.405,0,0,0.507
"36","CCL5","TNFAIP6","9606.ENSP00000474412","9606.ENSP00000243347",0,0,0,0,0.101,0.622,0,0,0.646
"37","CCL7","TNFAIP6","9606.ENSP00000367832","9606.ENSP00000243347",0,0,0,0,0.188,0.405,0,0,0.496
"38","CCR5","CD4","9606.ENSP00000292303","9606.ENSP00000011653",0,0,0,0,0.254,0.957,0,0,0.966
"39","CD19","CR2","9606.ENSP00000313419","9606.ENSP00000356024",0,0,0,0,0.465,0.51,0.5,0,0.857
"40","CD2","CD4","9606.ENSP00000358490","9606.ENSP00000011653",0,0,0,0,0.373,0.087,0,0,0.403
"41","CD274","CD4","9606.ENSP00000370989","9606.ENSP00000011653",0,0,0,0,0,0,0.5,0,0.499
"42","CD3D","CD4","9606.ENSP00000300692","9606.ENSP00000011653",0,0,0,0,0.307,0.066,0.9,0,0.929
"43","CD3D","TFRC","9606.ENSP00000300692","9606.ENSP00000376197",0,0,0,0,0.049,0.062,0.4,0,0.418
"44","CD3G","CD4","9606.ENSP00000431445","9606.ENSP00000011653",0,0,0,0,0.137,0,0.9,0,0.91
"45","CD3G","FCGR2A","9606.ENSP00000431445","9606.ENSP00000271450",0,0,0,0,0.067,0,0.4,0,0.416
"46","CD3G","FCGR3A","9606.ENSP00000431445","9606.ENSP00000356946",0,0,0,0,0.078,0,0.8,0,0.807
"47","CD3G","TFRC","9606.ENSP00000431445","9606.ENSP00000376197",0,0,0,0,0,0,0.4,0,0.4
"48","CD4","HLA-DQB2","9606.ENSP00000011653","9606.ENSP00000396330",0,0,0,0,0.139,0.087,0.5,0,0.572
"49","CD4","TFRC","9606.ENSP00000011653","9606.ENSP00000376197",0,0,0,0,0.055,0.096,0.4,0,0.442
"50","CD4","IGLL5","9606.ENSP00000011653","9606.ENSP00000431254",0,0,0,0,0.129,0.8,0,0,0.818
"51","CD4","ITK","9606.ENSP00000011653","9606.ENSP00000398655",0,0,0,0,0.272,0.081,0.5,0,0.636
"52","CD4","HLA-DOB","9606.ENSP00000011653","9606.ENSP00000496848",0,0,0,0,0.148,0.087,0.9,0,0.915
"53","CD4","TRAT1","9606.ENSP00000011653","9606.ENSP00000295756",0,0,0,0,0.146,0,0.9,0,0.91
"54","CD4","IL7R","9606.ENSP00000011653","9606.ENSP00000306157",0,0,0,0,0.182,0,0.4,0,0.488
"55","CD4","HLA-DQA2","9606.ENSP00000011653","9606.ENSP00000364076",0,0,0,0,0.074,0,0.9,0,0.903
"56","CD4","HLA-DPA1","9606.ENSP00000011653","9606.ENSP00000393566",0,0,0,0,0.155,0,0.9,0,0.911
"57","CD4","PTPRC","9606.ENSP00000011653","9606.ENSP00000411355",0,0,0,0,0.276,0.341,0.4,0,0.689
"58","CD4","HLA-DQA1","9606.ENSP00000011653","9606.ENSP00000339398",0,0,0,0,0.086,0,0.9,0,0.904
"59","CD4","HLA-DRA","9606.ENSP00000011653","9606.ENSP00000378786",0,0,0,0,0.151,0.904,0.9,0,0.991
"60","CD4","CD8A","9606.ENSP00000011653","9606.ENSP00000386559",0,0,0,0,0.13,0.098,0.9,0,0.914
"61","CD4","CXCR4","9606.ENSP00000011653","9606.ENSP00000386884",0,0,0,0,0.083,0.535,0,0,0.555
"62","CD44","LAMA5","9606.ENSP00000398632","9606.ENSP00000252999",0,0,0,0,0.044,0,0.9,0,0.9
"63","CD44","MMP7","9606.ENSP00000398632","9606.ENSP00000260227",0,0,0,0,0.093,0.292,0.5,0,0.65
"64","CD44","LEF1","9606.ENSP00000398632","9606.ENSP00000265165",0,0,0,0,0.104,0.422,0,0,0.46
"65","CD44","SELE","9606.ENSP00000398632","9606.ENSP00000331736",0,0,0,0,0.067,0.304,0.5,0,0.647
"66","CD44","LAMC3","9606.ENSP00000398632","9606.ENSP00000354360",0,0,0,0,0,0,0.9,0,0.9
"67","CD44","COL2A1","9606.ENSP00000398632","9606.ENSP00000369889",0,0,0,0,0,0,0.9,0,0.9
"68","CD44","HMMR","9606.ENSP00000398632","9606.ENSP00000377492",0,0,0,0,0,0,0.5,0,0.499
"69","CD44","SPP1","9606.ENSP00000398632","9606.ENSP00000378517",0,0,0,0,0.143,0.369,0.9,0,0.941
"70","CD44","COL9A3","9606.ENSP00000398632","9606.ENSP00000496793",0,0,0,0,0,0,0.9,0,0.9
"71","CD48","LCP1","9606.ENSP00000484431","9606.ENSP00000381581",0,0,0,0,0.397,0.075,0,0,0.418
"72","CD53","LCP1","9606.ENSP00000497382","9606.ENSP00000381581",0,0,0,0,0.659,0,0,0,0.659
"73","CD79A","IGLL5","9606.ENSP00000221972","9606.ENSP00000431254",0,0,0,0,0.353,0.507,0.54,0,0.84
"74","CDC25C","TTK","9606.ENSP00000321656","9606.ENSP00000358813",0,0,0,0,0.665,0,0,0,0.665
"75","CDC6","TTK","9606.ENSP00000209728","9606.ENSP00000358813",0,0,0,0,0.643,0,0,0,0.643
"76","CDCA2","TTK","9606.ENSP00000328228","9606.ENSP00000358813",0,0,0,0,0.834,0,0,0,0.834
"77","CDCA3","TTK","9606.ENSP00000442068","9606.ENSP00000358813",0,0,0,0,0.813,0,0,0,0.813
"78","CDCA5","TTK","9606.ENSP00000275517","9606.ENSP00000358813",0,0,0,0,0.622,0,0,0,0.622
"79","CDH1","KRT1","9606.ENSP00000261769","9606.ENSP00000252244",0,0,0,0,0.049,0.405,0,0,0.409
"80","CDH1","MMP7","9606.ENSP00000261769","9606.ENSP00000260227",0,0,0,0,0.059,0.048,0.4,0,0.415
"81","CDH1","LAD1","9606.ENSP00000261769","9606.ENSP00000375829",0,0,0,0,0.379,0.08,0,0,0.405
"82","CDH1","TGM2","9606.ENSP00000261769","9606.ENSP00000355330",0,0,0,0,0.049,0.405,0,0,0.41
"83","CDH1","RAB25","9606.ENSP00000261769","9606.ENSP00000354376",0,0,0,0,0.421,0.047,0,0,0.425
"84","CDH1","ESRP1","9606.ENSP00000261769","9606.ENSP00000405738",0,0,0,0,0.444,0,0,0,0.444
"85","CDH1","MMP3","9606.ENSP00000261769","9606.ENSP00000299855",0,0,0,0,0,0.048,0.4,0,0.404
"86","CDH1","KLK7","9606.ENSP00000261769","9606.ENSP00000470538",0,0,0,0,0.049,0,0.75,0,0.752
"87","CDK1","LMNB1","9606.ENSP00000378699","9606.ENSP00000261366",0,0,0,0,0.37,0.292,0.4,0,0.709
"88","CDK1","TTK","9606.ENSP00000378699","9606.ENSP00000358813",0,0,0,0.646,0.862,0.099,0,0,0.87
"89","CDKN3","TTK","9606.ENSP00000335357","9606.ENSP00000358813",0,0,0,0,0.788,0.071,0,0,0.795
"90","CENPA","TTK","9606.ENSP00000336868","9606.ENSP00000358813",0,0,0,0,0.733,0,0,0,0.733
"91","CEP55","TTK","9606.ENSP00000360540","9606.ENSP00000358813",0,0,0,0,0.846,0,0,0,0.846
"92","CIDEA","SERPINA12","9606.ENSP00000320209","9606.ENSP00000342109",0,0,0,0,0.055,0.428,0,0,0.436
"93","CKAP2L","TTK","9606.ENSP00000305204","9606.ENSP00000358813",0,0,0,0,0.426,0,0,0,0.426
"94","CKM","NEB","9606.ENSP00000221476","9606.ENSP00000484342",0,0,0,0,0.495,0,0,0,0.495
"95","CKS2","TTK","9606.ENSP00000364976","9606.ENSP00000358813",0,0,0,0,0.402,0.079,0,0,0.426
"96","CLC","RNASE2","9606.ENSP00000221804","9606.ENSP00000303276",0,0,0,0,0.448,0,0,0,0.448
"97","CLC","IGLL5","9606.ENSP00000221804","9606.ENSP00000431254",0,0,0,0,0.109,0.9,0,0,0.907
"98","CLEC17A","IGFBP5","9606.ENSP00000393719","9606.ENSP00000233813",0,0,0,0,0,0.488,0,0,0.487
"99","COL2A1","SDC1","9606.ENSP00000369889","9606.ENSP00000370542",0,0,0,0,0,0,0.65,0,0.65
"100","COL9A3","MMP3","9606.ENSP00000496793","9606.ENSP00000299855",0,0,0,0,0.074,0.05,0.4,0,0.426
"101","COL9A3","SDC1","9606.ENSP00000496793","9606.ENSP00000370542",0,0,0,0,0.042,0,0.65,0,0.65
"102","COL9A3","SPP1","9606.ENSP00000496793","9606.ENSP00000378517",0,0,0,0,0.064,0,0.4,0,0.414
"103","CR2","MS4A1","9606.ENSP00000356024","9606.ENSP00000433277",0,0,0,0,0.561,0,0,0,0.561
"104","CSF2","IGLL5","9606.ENSP00000296871","9606.ENSP00000431254",0,0,0,0,0,0.9,0,0,0.9
"105","CSPG4","SDC1","9606.ENSP00000312506","9606.ENSP00000370542",0,0,0,0,0.08,0,0.5,0,0.52
"106","CSRP3","NEB","9606.ENSP00000431813","9606.ENSP00000484342",0,0,0,0,0.421,0,0,0,0.421
"107","CXCL1","IGLL5","9606.ENSP00000379110","9606.ENSP00000431254",0,0,0,0,0,0.439,0,0,0.439
"108","CXCL11","TNFAIP6","9606.ENSP00000306884","9606.ENSP00000243347",0,0,0,0,0.142,0.622,0,0,0.661
"109","CXCL3","IGLL5","9606.ENSP00000296026","9606.ENSP00000431254",0,0,0,0,0,0.439,0,0,0.439
"110","CXCL8","TNFAIP6","9606.ENSP00000306512","9606.ENSP00000243347",0,0,0,0,0.229,0.405,0,0,0.522
"111","CYTIP","HBB","9606.ENSP00000264192","9606.ENSP00000494175",0,0,0,0,0.083,0.42,0,0,0.445
"112","DBN1","LMNB1","9606.ENSP00000377195","9606.ENSP00000261366",0,0,0,0,0.061,0,0.4,0,0.413
"113","DBN1","GSN","9606.ENSP00000377195","9606.ENSP00000362924",0,0,0,0,0.042,0.687,0,0,0.687
"114","DBN1","TFRC","9606.ENSP00000377195","9606.ENSP00000376197",0,0,0,0,0.046,0,0.4,0,0.403
"115","DEPDC1","TTK","9606.ENSP00000412292","9606.ENSP00000358813",0,0,0,0,0.806,0,0,0,0.806
"116","DEPDC1B","TFRC","9606.ENSP00000265036","9606.ENSP00000376197",0,0,0,0,0.13,0,0.4,0,0.456
"117","DEPDC1B","TTK","9606.ENSP00000265036","9606.ENSP00000358813",0,0,0,0,0.609,0,0,0,0.609
"118","DERL3","SEL1L3","9606.ENSP00000384744","9606.ENSP00000382767",0,0,0,0,0.121,0.581,0,0,0.616
"119","DLGAP5","TTK","9606.ENSP00000247191","9606.ENSP00000358813",0,0,0,0,0.947,0,0,0,0.947
"120","DSC1","PI3","9606.ENSP00000257198","9606.ENSP00000243924",0,0,0,0,0.055,0,0.5,0,0.507
"121","DSC1","DSG3","9606.ENSP00000257198","9606.ENSP00000257189",0,0,0,0.702,0.111,0,0.5,0,0.536
"122","DSC1","DSG1","9606.ENSP00000257198","9606.ENSP00000257192",0,0,0,0.645,0.353,0.625,0.5,0,0.868
"123","DSC1","DSC3","9606.ENSP00000257198","9606.ENSP00000353608",0,0,0,0.943,0.108,0,0.5,0,0.534
"124","DSC1","KRT2","9606.ENSP00000257198","9606.ENSP00000310861",0,0,0,0,0.478,0.071,0,0,0.494
"125","DSC1","FLG2","9606.ENSP00000257198","9606.ENSP00000373370",0,0,0,0,0.384,0.245,0,0,0.516
"126","DSC1","EVPL","9606.ENSP00000257198","9606.ENSP00000465630",0,0,0,0,0.076,0.045,0.5,0,0.52
"127","DSC1","FLG","9606.ENSP00000257198","9606.ENSP00000357789",0,0,0,0,0.248,0.046,0.5,0,0.609
"128","DSC1","PPL","9606.ENSP00000257198","9606.ENSP00000340510",0,0,0,0,0.076,0.045,0.5,0,0.52
"129","DSC3","DSG1","9606.ENSP00000353608","9606.ENSP00000257192",0,0,0,0.669,0.251,0,0.5,0,0.609
"130","DSG1","PI3","9606.ENSP00000257192","9606.ENSP00000243924",0,0,0,0,0.062,0,0.5,0,0.51
"131","DSG1","DSG3","9606.ENSP00000257192","9606.ENSP00000257189",0,0,0,0.898,0.156,0,0.5,0,0.559
"132","DSG1","FLG2","9606.ENSP00000257192","9606.ENSP00000373370",0,0,0,0,0.249,0.243,0,0,0.408
"133","DSG1","EVPL","9606.ENSP00000257192","9606.ENSP00000465630",0,0,0,0,0.065,0.045,0.5,0,0.514
"134","DSG1","PPL","9606.ENSP00000257192","9606.ENSP00000340510",0,0,0,0,0.068,0.045,0.5,0,0.516
"135","DSG1","FLG","9606.ENSP00000257192","9606.ENSP00000357789",0,0,0,0,0.263,0.246,0.5,0,0.698
"136","DTL","TTK","9606.ENSP00000355958","9606.ENSP00000358813",0,0,0,0,0.761,0,0,0,0.761
"137","E2F7","TTK","9606.ENSP00000323246","9606.ENSP00000358813",0,0,0,0,0.478,0,0,0,0.478
