#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AADACL2	KYNU	9606.ENSP00000348911	9606.ENSP00000264170	0.095	0	0	0	0.139	0	0.414	0	0.503
AADACL2	FLG2	9606.ENSP00000348911	9606.ENSP00000373370	0	0	0	0	0.540	0.071	0	0	0.554
ACACB	FASN	9606.ENSP00000341044	9606.ENSP00000304592	0.055	0	0	0	0.308	0	0.900	0	0.928
ACACB	RGS1	9606.ENSP00000341044	9606.ENSP00000356429	0	0	0	0	0	0.423	0	0	0.422
ACACB	ARG1	9606.ENSP00000341044	9606.ENSP00000349446	0	0	0	0	0	0	0.431	0	0.430
ACOD1	GLDC	9606.ENSP00000366682	9606.ENSP00000370737	0	0	0	0	0.074	0	0.576	0	0.590
ACTA1	CKM	9606.ENSP00000355645	9606.ENSP00000221476	0	0	0	0	0.785	0.071	0	0	0.792
ACTA1	MYL2	9606.ENSP00000355645	9606.ENSP00000228841	0	0	0	0	0.782	0.126	0	0	0.801
ACTA1	MYLPF	9606.ENSP00000355645	9606.ENSP00000325239	0	0	0	0	0.780	0.287	0	0	0.837
ACTA1	MYH7	9606.ENSP00000355645	9606.ENSP00000347507	0	0	0	0	0.784	0.252	0	0	0.831
ACTA1	MB	9606.ENSP00000355645	9606.ENSP00000352835	0	0	0	0	0.484	0.052	0	0	0.489
ACTA1	ACTN2	9606.ENSP00000355645	9606.ENSP00000355537	0	0	0	0	0.453	0.125	0	0	0.500
ACTA1	SMPX	9606.ENSP00000355645	9606.ENSP00000368808	0	0	0	0	0.405	0	0	0	0.405
ACTA1	ANGPTL8	9606.ENSP00000355645	9606.ENSP00000479969	0	0	0	0	0	0.473	0	0	0.473
ACTA1	CSRP3	9606.ENSP00000355645	9606.ENSP00000431813	0	0	0	0	0.645	0.070	0	0	0.655
ACTA1	LMOD1	9606.ENSP00000355645	9606.ENSP00000356257	0	0	0	0	0.086	0.900	0	0	0.904
ACTA1	TPM2	9606.ENSP00000355645	9606.ENSP00000496494	0	0	0	0	0.234	0.403	0	0	0.523
ACTA1	LCP1	9606.ENSP00000355645	9606.ENSP00000381581	0	0	0	0	0.067	0.967	0	0	0.967
ACTA1	GSN	9606.ENSP00000355645	9606.ENSP00000362924	0	0	0	0	0.059	0.981	0	0	0.981
ACTN2	CKM	9606.ENSP00000355537	9606.ENSP00000221476	0	0	0	0	0.579	0.051	0	0	0.584
